cliente_edad,cliente_genero,cliente_estado_civil,numero_hijos_o_dependientes,nivel_educativo,ocupacion_profesion,ingresos_estimados_rango,monto_reserva,metodo_pago,fecha_reserva,tiempo_reserva,lote_ubicacion,fecha_limite,lote_precio,lote_id,manzana,asesor,numero_visitas_proyecto_antes,numero_visitas_proyecto_despues,canal_contacto,tiempo_promedio_decision_antes_compra_dias,nivel_respuesta,promesa_regalo,cerca_avenidas,cerca_colegios,cerca_parques,estado_final,compra_final
35,F,soltero,2,universitario,Ingeniero,1500-3000,300,yape,2025-06-25,55,"Rambla Segismundo Manuel, Zamora",2025-08-19,181225,Villa Los OlivosF8,F,María Gómez,1,1,WhatsApp,43,rapido,sí,1,1,1,reservado,0
34,F,soltero,4,secundaria,Arquitecto,>5000,300,tarjeta,2025-04-21,45,"Pasaje de Bárbara Martí, Murcia",2025-06-05,50149,Villa Los OlivosB41,B,Pedro Sánchez,1,1,Evento,7,rapido,no,1,0,0,reservado,0
40,M,soltero,0,universitario,Doctor,1500-3000,300,transferencia,2025-01-12,59,"Avenida de Angelita Duran, Girona",2025-03-12,177399,Residencial SolA8,A,Ana Torres,0,1,Facebook,9,rapido,sí,1,0,0,reservado,0
41,F,soltero,2,tecnico,Doctor,1500-3000,400,tarjeta,2025-05-06,32,"Alameda Nerea Macías, Cuenca",2025-06-07,131714,Villa Los OlivosC9,C,Luis Pérez,0,4,WhatsApp,31,sin_respuesta,no,1,1,0,transferido,0
39,M,divorciado,4,universitario,Abogado,1500-3000,100,tarjeta,2025-12-16,44,"Plaza Amaro Cervera, Ceuta",2026-01-29,110323,Residencial SolI29,I,Pedro Sánchez,0,2,Evento,23,rapido,sí,0,1,1,transferido,0
29,M,casado,2,universitario,Arquitecto,3000-5000,100,tarjeta,2025-03-27,24,"Glorieta de Calixta Valero, Valencia",2025-04-20,112391,Jardines del ValleB46,B,Pedro Sánchez,2,0,Facebook,19,tardio,no,1,1,0,transferido,0
40,F,soltero,2,postgrado,Arquitecto,3000-5000,500,yape,2025-05-28,49,"Alameda de Cintia Soto, Ciudad",2025-07-16,75409,Jardines del ValleI9,I,Ana Torres,0,0,Instagram,28,rapido,no,1,1,0,reservado,0
31,M,casado,2,tecnico,Profesor,1500-3000,400,efectivo,2025-03-25,19,"Glorieta Vasco Cal, Ourense",2025-04-13,115183,Residencial SolG27,G,Ana Torres,0,0,Página Web,32,sin_respuesta,sí,0,0,1,transferido,0
42,F,soltero,2,secundaria,Doctor,1500-3000,400,tarjeta,2025-11-15,13,"Plaza de Plácido Duran, Palencia",2025-11-28,194264,Villa Los OlivosH9,H,Juan Rojas,0,2,Facebook,10,tardio,sí,1,0,1,transferido,0
35,F,soltero,0,tecnico,Profesor,3000-5000,100,tarjeta,2025-01-30,17,"Urbanización Reyna Mayo, Segovia",2025-02-16,65370,Villa Los OlivosI1,I,Juan Rojas,1,0,Instagram,18,tardio,no,1,0,1,reservado,0
52,F,soltero,0,tecnico,Doctor,1500-3000,400,transferencia,2025-08-09,44,"Cuesta de Nadia Jimenez, La Rioja",2025-09-22,65331,Jardines del ValleG17,G,Luis Pérez,0,1,Página Web,10,rapido,sí,1,0,1,transferido,0
57,M,casado,0,tecnico,Ingeniero,<1500,100,yape,2025-01-12,45,"Camino de Gerónimo Aguado, Guipúzcoa",2025-02-26,67962,Villa Los OlivosF4,F,Luis Pérez,0,1,Facebook,9,tardio,sí,0,1,1,transferido,0
62,M,casado,2,tecnico,Comerciante,3000-5000,100,tarjeta,2025-04-09,40,"Paseo de Graciana Merino, Barcelona",2025-05-19,198170,Villa Los OlivosD26,D,Pedro Sánchez,1,2,Referido,44,rapido,no,0,1,0,transferido,0
41,F,conviviente,4,universitario,Doctor,3000-5000,300,tarjeta,2025-08-05,27,"Rambla de Rufina Maza, Ávila",2025-09-01,169858,Residencial SolD43,D,María Gómez,1,1,WhatsApp,14,tardio,sí,0,1,1,transferido,0
29,M,soltero,2,postgrado,Comerciante,<1500,500,efectivo,2025-09-11,22,"C. de Loreto Nebot, Pontevedra",2025-10-03,68033,Jardines del ValleH40,H,María Gómez,2,0,Instagram,35,tardio,no,1,1,1,transferido,0
64,M,casado,3,tecnico,Contador,3000-5000,500,transferencia,2025-02-18,15,"Cañada de Jose Manuel Ponce, Huesca",2025-03-05,77154,Residencial SolC29,C,María Gómez,1,1,Evento,41,rapido,no,1,1,0,reservado,1
42,F,soltero,0,universitario,Comerciante,<1500,500,tarjeta,2025-01-26,50,"Ronda de Georgina Meléndez, Ourense",2025-03-17,103371,Jardines del ValleB48,B,María Gómez,3,1,WhatsApp,25,sin_respuesta,no,1,0,0,reservado,0
65,F,casado,1,universitario,Arquitecto,1500-3000,100,efectivo,2025-04-27,56,"Via de Jimena Piquer, Albacete",2025-06-22,137439,Villa Los OlivosH17,H,Ana Torres,0,3,Facebook,0,sin_respuesta,sí,0,0,0,reservado,0
60,M,conviviente,1,tecnico,Ingeniero,>5000,400,yape,2025-08-08,9,"Alameda de Felicia Samper, Badajoz",2025-08-17,193023,Villa Los OlivosE11,E,Luis Pérez,1,1,WhatsApp,19,sin_respuesta,no,0,1,1,transferido,0
27,F,conviviente,0,tecnico,Abogado,>5000,400,tarjeta,2025-04-13,50,"Pasaje de Ximena Balaguer, Almería",2025-06-02,105070,Villa Los OlivosI10,I,María Gómez,0,1,Facebook,13,tardio,sí,0,1,1,transferido,0
64,M,casado,2,universitario,Doctor,3000-5000,500,yape,2025-08-29,8,"Urbanización de Edmundo Chico, Jaén",2025-09-06,158080,Villa Los OlivosB23,B,Luis Pérez,2,3,Instagram,13,rapido,sí,0,1,0,transferido,0
35,M,conviviente,0,secundaria,Profesor,<1500,200,transferencia,2025-06-28,19,"Avenida de Erasmo Cabezas, Murcia",2025-07-17,108309,Villa Los OlivosF27,F,Juan Rojas,3,0,Facebook,24,rapido,no,0,0,0,reservado,0
37,F,soltero,4,secundaria,Abogado,>5000,200,efectivo,2025-11-01,48,"Via Iván Solera, Sevilla",2025-12-19,142050,Residencial SolE15,E,María Gómez,0,0,Facebook,38,rapido,no,1,1,1,transferido,0
41,M,casado,1,secundaria,Comerciante,>5000,100,efectivo,2025-04-17,29,"Pasadizo de Rosalina Guitart, Santa Cruz de Tenerife",2025-05-16,163918,Villa Los OlivosI22,I,Ana Torres,0,1,Facebook,23,tardio,no,0,0,0,transferido,0
61,M,conviviente,1,universitario,Abogado,3000-5000,100,yape,2025-12-25,40,"Glorieta Asunción Conde, Burgos",2026-02-03,50443,Residencial SolJ33,J,Juan Rojas,0,3,WhatsApp,35,rapido,sí,0,1,1,transferido,0
32,F,casado,2,universitario,Comerciante,1500-3000,300,transferencia,2025-12-28,32,"Vial de Luisa Hernando, Castellón",2026-01-29,135506,Residencial SolG5,G,Juan Rojas,1,0,WhatsApp,2,rapido,no,0,0,1,transferido,0
36,F,casado,1,universitario,Profesor,1500-3000,400,yape,2025-05-10,20,"Cañada de Carla Vázquez, Valencia",2025-05-30,125212,Villa Los OlivosC13,C,María Gómez,1,0,Facebook,21,sin_respuesta,no,1,0,1,transferido,0
53,F,conviviente,4,postgrado,Contador,<1500,300,yape,2025-07-02,49,"Vial de Encarnacion Amorós, Granada",2025-08-20,94483,Villa Los OlivosJ42,J,Juan Rojas,0,1,Evento,42,tardio,sí,0,1,1,reservado,1
30,M,conviviente,4,secundaria,Contador,>5000,500,transferencia,2025-04-08,8,"Via de Enrique Gual, Las Palmas",2025-04-16,88627,Residencial SolI43,I,Luis Pérez,0,2,Instagram,20,rapido,sí,0,1,1,transferido,0
51,M,soltero,3,secundaria,Contador,<1500,100,yape,2025-07-30,22,"Pasaje Joaquina Ropero, Baleares",2025-08-21,154766,Jardines del ValleH40,H,Juan Rojas,0,2,Referido,49,rapido,sí,0,0,1,transferido,1
39,M,casado,1,tecnico,Arquitecto,3000-5000,100,yape,2025-02-05,42,"Callejón Azeneth Vilaplana, Guadalajara",2025-03-19,63164,Villa Los OlivosA49,A,Juan Rojas,0,0,Evento,10,rapido,sí,1,0,1,reservado,0
53,F,soltero,3,tecnico,Arquitecto,1500-3000,400,transferencia,2025-04-22,35,"Ronda Plinio Cazorla, Palencia",2025-05-27,174433,Jardines del ValleH9,H,Luis Pérez,1,0,Referido,15,tardio,no,0,0,0,transferido,1
65,M,conviviente,0,tecnico,Abogado,<1500,500,yape,2025-08-11,24,"Cuesta de Nerea Nieto, Zaragoza",2025-09-04,111471,Jardines del ValleE50,E,María Gómez,1,0,Facebook,35,rapido,no,0,0,1,transferido,0
39,F,casado,0,tecnico,Contador,1500-3000,200,tarjeta,2025-03-15,33,"Cuesta de Tomás Ibañez, Lleida",2025-04-17,66837,Residencial SolI6,I,Luis Pérez,1,3,WhatsApp,37,rapido,no,0,0,1,reservado,0
38,F,casado,0,tecnico,Profesor,1500-3000,400,efectivo,2025-11-09,37,"Avenida Constanza Carvajal, León",2025-12-16,149714,Residencial SolI30,I,Ana Torres,1,1,Evento,36,rapido,sí,0,1,1,transferido,0
59,M,casado,1,secundaria,Profesor,>5000,400,yape,2025-03-28,8,"C. Sara Jerez, León",2025-04-05,177308,Residencial SolE49,E,Juan Rojas,2,2,Página Web,29,rapido,no,1,1,0,transferido,0
33,M,soltero,0,tecnico,Profesor,3000-5000,200,yape,2025-08-03,48,"Plaza Tatiana Hoz, Palencia",2025-09-20,72006,Residencial SolG47,G,Ana Torres,2,1,Evento,38,rapido,no,1,0,1,transferido,0
49,F,divorciado,0,tecnico,Doctor,1500-3000,100,transferencia,2025-02-28,24,"Paseo de Noa Zabala, La Coruña",2025-03-24,149385,Jardines del ValleH12,H,María Gómez,0,2,Página Web,13,rapido,no,0,1,1,reservado,0
47,M,casado,3,tecnico,Contador,1500-3000,100,efectivo,2025-05-04,22,"Cañada Corona Machado, Almería",2025-05-26,58134,Residencial SolB31,B,Ana Torres,2,0,WhatsApp,22,rapido,sí,1,1,1,reservado,1
55,M,divorciado,1,universitario,Comerciante,<1500,200,tarjeta,2025-04-02,17,"Glorieta Luisina Fuente, Pontevedra",2025-04-19,146703,Jardines del ValleJ10,J,María Gómez,1,0,Referido,31,tardio,sí,0,0,1,transferido,0
44,F,soltero,2,secundaria,Profesor,>5000,500,efectivo,2025-10-12,13,"Acceso de Adora Llobet, Soria",2025-10-25,113661,Jardines del ValleE7,E,Ana Torres,1,2,Instagram,6,rapido,no,1,1,0,transferido,0
47,F,conviviente,2,universitario,Contador,>5000,500,efectivo,2025-07-13,7,"C. de Gilberto Chico, Teruel",2025-07-20,139451,Villa Los OlivosJ8,J,Pedro Sánchez,0,0,Facebook,33,tardio,no,0,1,1,transferido,0
34,F,soltero,3,postgrado,Doctor,<1500,300,yape,2025-10-09,56,"Via de Artemio Jiménez, Palencia",2025-12-04,191078,Residencial SolB28,B,María Gómez,0,1,Evento,17,rapido,no,1,0,0,transferido,0
45,M,soltero,3,secundaria,Arquitecto,1500-3000,500,transferencia,2025-01-10,55,"Vial de Jacinto Martin, Castellón",2025-03-06,113927,Residencial SolG47,G,Juan Rojas,0,0,Página Web,13,tardio,no,0,1,1,reservado,0
26,F,casado,4,universitario,Arquitecto,1500-3000,400,transferencia,2025-02-04,29,"Callejón de Angelina Saavedra, Vizcaya",2025-03-05,105605,Villa Los OlivosJ43,J,Juan Rojas,1,2,Instagram,8,sin_respuesta,no,0,0,0,transferido,0
58,M,casado,4,universitario,Ingeniero,>5000,300,efectivo,2025-06-26,42,"Ronda de Sabina Dalmau, Cáceres",2025-08-07,178077,Residencial SolE39,E,Juan Rojas,1,1,WhatsApp,11,rapido,sí,0,1,0,reservado,1
26,M,divorciado,3,tecnico,Abogado,1500-3000,400,yape,2025-05-28,49,"Alameda de Octavio Cases, Valladolid",2025-07-16,130270,Villa Los OlivosH42,H,Luis Pérez,1,2,Referido,7,rapido,no,0,0,0,reservado,0
60,F,conviviente,1,universitario,Abogado,3000-5000,300,yape,2025-10-28,23,"Calle de Reinaldo Cabo, Valencia",2025-11-20,130379,Residencial SolI34,I,María Gómez,0,2,Referido,17,rapido,sí,0,1,1,transferido,0
37,M,conviviente,2,postgrado,Contador,<1500,100,tarjeta,2025-08-15,45,"Calle Olimpia Ibañez, Baleares",2025-09-29,187530,Jardines del ValleD21,D,Pedro Sánchez,1,1,Página Web,36,sin_respuesta,no,0,1,1,transferido,0
36,F,casado,1,tecnico,Ingeniero,3000-5000,200,transferencia,2025-09-14,9,"Acceso de Chita Cabeza, Ourense",2025-09-23,121909,Jardines del ValleD19,D,Luis Pérez,1,1,Evento,39,rapido,sí,0,1,1,transferido,0
31,M,soltero,0,tecnico,Comerciante,>5000,200,yape,2025-12-17,28,"Glorieta de Adalberto Guerra, Valladolid",2026-01-14,165466,Villa Los OlivosE45,E,Juan Rojas,1,1,Referido,8,rapido,sí,1,1,0,transferido,0
50,F,soltero,1,tecnico,Ingeniero,<1500,100,efectivo,2025-03-06,16,"Cañada de Gerardo Valenzuela, Granada",2025-03-22,89774,Jardines del ValleE31,E,Ana Torres,2,1,WhatsApp,22,rapido,no,1,1,1,transferido,0
63,M,soltero,0,tecnico,Arquitecto,1500-3000,500,yape,2025-02-27,26,"Plaza Marcelino Sánchez, Pontevedra",2025-03-25,166056,Jardines del ValleD8,D,Juan Rojas,1,1,Referido,44,rapido,no,1,0,1,transferido,0
38,M,soltero,4,universitario,Abogado,3000-5000,100,efectivo,2025-10-22,18,"Avenida de Nico Cantero, Teruel",2025-11-09,112879,Residencial SolJ40,J,Luis Pérez,3,1,Facebook,31,rapido,sí,0,0,1,transferido,0
43,M,casado,3,secundaria,Doctor,3000-5000,400,yape,2025-05-15,11,"Pasadizo Emelina Sanmartín, Vizcaya",2025-05-26,169021,Jardines del ValleA27,A,María Gómez,2,2,WhatsApp,14,tardio,sí,1,1,1,transferido,0
32,M,casado,2,universitario,Contador,3000-5000,200,yape,2025-03-05,10,"Avenida de Francisca Torre, Ciudad",2025-03-15,68719,Residencial SolJ43,J,Luis Pérez,1,2,Página Web,37,rapido,sí,0,0,1,reservado,0
53,M,soltero,4,secundaria,Profesor,1500-3000,500,transferencia,2025-10-04,39,"Cañada Sancho Quiroga, Palencia",2025-11-12,121367,Residencial SolJ48,J,Juan Rojas,2,2,Página Web,19,rapido,no,1,0,1,transferido,1
45,F,casado,3,universitario,Ingeniero,<1500,100,yape,2025-05-27,55,"Pasadizo Flor Moliner, Vizcaya",2025-07-21,55438,Residencial SolB39,B,Pedro Sánchez,0,3,Instagram,28,tardio,no,1,0,1,reservado,0
58,F,conviviente,4,universitario,Abogado,1500-3000,200,yape,2025-09-25,12,"Pasadizo de Ángel Arregui, Álava",2025-10-07,178902,Villa Los OlivosA49,A,Juan Rojas,3,2,Evento,33,rapido,no,0,0,0,transferido,1
35,F,casado,0,postgrado,Profesor,1500-3000,300,efectivo,2025-11-22,59,"Camino de Onofre Noriega, Soria",2026-01-20,154976,Residencial SolG22,G,María Gómez,3,1,Referido,44,rapido,sí,0,0,0,transferido,0
32,F,soltero,0,secundaria,Arquitecto,1500-3000,300,transferencia,2025-05-01,33,"Cuesta Patricio Crespi, Zamora",2025-06-03,171104,Residencial SolB21,B,Pedro Sánchez,0,2,Facebook,24,rapido,sí,1,0,0,reservado,0
65,F,soltero,4,universitario,Arquitecto,<1500,500,yape,2025-02-12,15,"Ronda Maximino Tejedor, Albacete",2025-02-27,193974,Jardines del ValleI24,I,María Gómez,0,4,Instagram,29,rapido,no,1,0,1,transferido,1
35,F,soltero,2,secundaria,Comerciante,>5000,100,tarjeta,2025-07-10,21,"Glorieta Leonel Priego, Córdoba",2025-07-31,74434,Residencial SolH8,H,Juan Rojas,1,1,Evento,0,rapido,sí,1,0,0,transferido,0
43,F,conviviente,3,postgrado,Profesor,1500-3000,200,yape,2025-11-04,36,"Cañada Delia Enríquez, Murcia",2025-12-10,113892,Residencial SolB42,B,Juan Rojas,3,0,Referido,36,rapido,sí,0,1,0,transferido,0
29,F,divorciado,1,secundaria,Arquitecto,1500-3000,500,tarjeta,2025-03-04,24,"Alameda Visitación Baquero, Ceuta",2025-03-28,183100,Residencial SolD39,D,María Gómez,2,1,Referido,32,sin_respuesta,sí,0,1,0,transferido,0
34,F,soltero,1,tecnico,Comerciante,1500-3000,500,yape,2025-10-21,55,"Ronda Borja Alba, Alicante",2025-12-15,194681,Residencial SolE38,E,María Gómez,0,1,Página Web,16,rapido,no,1,0,0,transferido,0
39,F,divorciado,0,secundaria,Ingeniero,3000-5000,200,yape,2025-06-24,31,"Glorieta Moreno Navarro, Ciudad",2025-07-25,149937,Residencial SolF13,F,Juan Rojas,1,2,WhatsApp,37,tardio,sí,0,1,1,transferido,0
31,F,conviviente,1,universitario,Ingeniero,1500-3000,500,transferencia,2025-10-14,33,"C. de Eladio Luna, Girona",2025-11-16,87789,Residencial SolA9,A,Ana Torres,1,1,Referido,18,sin_respuesta,sí,0,1,1,transferido,0
30,F,soltero,2,tecnico,Arquitecto,3000-5000,300,yape,2025-04-07,47,"Avenida de Seve Palomares, Baleares",2025-05-24,133010,Jardines del ValleH17,H,Juan Rojas,0,1,Evento,33,sin_respuesta,no,1,0,1,transferido,0
65,F,casado,2,universitario,Doctor,<1500,100,tarjeta,2025-12-20,55,"Camino de Jordi Mur, Pontevedra",2026-02-13,75806,Villa Los OlivosA40,A,Juan Rojas,2,1,Facebook,11,rapido,sí,0,1,0,transferido,0
27,F,casado,2,universitario,Arquitecto,1500-3000,300,efectivo,2025-12-26,34,"C. de Yaiza Miguel, Las Palmas",2026-01-29,148262,Residencial SolC45,C,María Gómez,1,2,Página Web,28,rapido,sí,1,1,1,transferido,0
35,M,casado,4,universitario,Ingeniero,1500-3000,500,tarjeta,2025-01-23,38,"Urbanización de Silvia Corral, Huelva",2025-03-02,113132,Jardines del ValleI27,I,Pedro Sánchez,2,2,Referido,24,tardio,sí,0,1,1,reservado,0
41,M,casado,4,tecnico,Arquitecto,3000-5000,300,yape,2025-05-11,11,"Callejón Araceli Giménez, Segovia",2025-05-22,91412,Jardines del ValleH41,H,Pedro Sánchez,1,0,Página Web,40,rapido,no,0,1,0,transferido,0
54,F,divorciado,4,universitario,Doctor,>5000,400,transferencia,2025-10-19,31,"Acceso de Lorenza Tomé, Albacete",2025-11-19,112182,Residencial SolJ20,J,Ana Torres,2,2,Referido,39,rapido,no,0,0,0,transferido,1
50,F,soltero,2,tecnico,Ingeniero,1500-3000,300,efectivo,2025-06-29,60,"Pasadizo Leandro Vicente, Castellón",2025-08-28,180214,Villa Los OlivosE45,E,Ana Torres,2,3,WhatsApp,19,tardio,no,1,0,0,transferido,0
64,F,conviviente,4,tecnico,Contador,1500-3000,200,tarjeta,2025-02-09,47,"C. de Daniela Canals, Navarra",2025-03-28,75470,Jardines del ValleJ23,J,Luis Pérez,2,2,WhatsApp,22,tardio,sí,0,1,0,reservado,1
33,M,soltero,0,postgrado,Abogado,3000-5000,500,transferencia,2025-08-02,19,"Plaza de Teodoro Guzmán, La Rioja",2025-08-21,96042,Residencial SolH3,H,Juan Rojas,1,2,WhatsApp,29,sin_respuesta,sí,0,0,1,transferido,0
35,F,casado,4,universitario,Arquitecto,1500-3000,500,transferencia,2025-01-05,36,"Alameda Piedad Robledo, Lugo",2025-02-10,80191,Villa Los OlivosF34,F,María Gómez,0,2,Página Web,28,tardio,sí,0,1,1,transferido,0
30,F,soltero,1,universitario,Ingeniero,1500-3000,400,transferencia,2025-10-07,30,"Rambla Ainoa Vázquez, Huelva",2025-11-06,169219,Jardines del ValleD44,D,Ana Torres,2,1,Evento,45,rapido,no,1,0,1,transferido,0
39,F,soltero,0,universitario,Ingeniero,3000-5000,300,efectivo,2025-03-08,48,"Avenida Mamen Lumbreras, Córdoba",2025-04-25,108030,Villa Los OlivosG41,G,María Gómez,0,0,Evento,30,tardio,sí,1,1,1,transferido,0
32,M,soltero,4,tecnico,Ingeniero,1500-3000,300,yape,2025-12-19,13,"Rambla José Ángel Castrillo, Pontevedra",2026-01-01,80440,Villa Los OlivosH45,H,Juan Rojas,0,1,Página Web,18,rapido,sí,1,0,1,transferido,0
59,F,casado,0,secundaria,Comerciante,>5000,400,transferencia,2025-07-12,48,"Callejón de José María Casado, Valencia",2025-08-29,158759,Villa Los OlivosC25,C,Luis Pérez,0,1,WhatsApp,0,rapido,sí,1,1,0,transferido,0
48,M,soltero,3,tecnico,Profesor,1500-3000,300,efectivo,2025-08-14,50,"Cuesta Paca Gómez, Jaén",2025-10-03,76045,Residencial SolJ27,J,María Gómez,2,1,Instagram,8,sin_respuesta,no,0,0,1,transferido,1
37,M,casado,3,universitario,Arquitecto,<1500,400,transferencia,2025-01-27,48,"Pasadizo de Amador Salvà, Girona",2025-03-16,105602,Villa Los OlivosF4,F,Ana Torres,3,0,Referido,17,rapido,sí,1,1,0,reservado,0
29,M,viudo,2,universitario,Comerciante,<1500,200,tarjeta,2025-05-23,57,"Urbanización Calista Casares, Burgos",2025-07-19,88680,Jardines del ValleF16,F,María Gómez,0,1,Instagram,17,tardio,sí,0,1,1,reservado,0
36,M,soltero,1,universitario,Contador,<1500,500,transferencia,2025-08-14,29,"Cañada Heliodoro Pons, Ciudad",2025-09-12,53895,Residencial SolC9,C,Luis Pérez,2,3,Facebook,21,rapido,sí,1,0,1,transferido,0
28,M,conviviente,2,tecnico,Contador,3000-5000,200,transferencia,2025-01-31,37,"Pasaje Heliodoro Colomer, La Rioja",2025-03-09,66661,Villa Los OlivosF2,F,Ana Torres,1,1,Evento,22,rapido,no,0,1,0,reservado,0
57,M,casado,0,secundaria,Comerciante,3000-5000,100,yape,2025-10-08,36,"Ronda Ruben Rosselló, Guipúzcoa",2025-11-13,129070,Residencial SolI38,I,Pedro Sánchez,1,2,WhatsApp,13,tardio,sí,0,0,1,transferido,0
56,F,soltero,1,universitario,Ingeniero,1500-3000,400,efectivo,2025-08-01,11,"Calle Eulalia Acuña, Zaragoza",2025-08-12,88884,Jardines del ValleH26,H,Pedro Sánchez,0,2,Página Web,18,rapido,sí,1,0,1,transferido,0
49,F,soltero,2,secundaria,Profesor,1500-3000,500,transferencia,2025-09-14,57,"Rambla de Arcelia Cobo, Lugo",2025-11-10,75999,Residencial SolJ41,J,Juan Rojas,3,1,Evento,30,tardio,sí,1,1,1,transferido,0
53,M,soltero,4,secundaria,Profesor,1500-3000,200,yape,2025-10-02,53,"Acceso de Ágata Benítez, Zaragoza",2025-11-24,159049,Villa Los OlivosI47,I,Juan Rojas,0,0,Referido,29,rapido,sí,1,1,1,transferido,1
34,F,soltero,2,universitario,Ingeniero,<1500,300,transferencia,2025-03-21,13,"Via de Tomasa Blanes, Almería",2025-04-03,163213,Residencial SolG21,G,Ana Torres,0,1,Facebook,12,rapido,no,1,0,0,reservado,0
32,F,conviviente,0,universitario,Abogado,1500-3000,500,transferencia,2025-10-16,25,"Pasadizo de Alfredo Saavedra, Valencia",2025-11-10,63486,Jardines del ValleI4,I,Juan Rojas,2,0,WhatsApp,14,tardio,no,0,0,1,transferido,0
34,F,conviviente,0,universitario,Doctor,3000-5000,500,tarjeta,2025-09-11,30,"Rambla de María José Conesa, Alicante",2025-10-11,195821,Residencial SolB37,B,María Gómez,1,4,Facebook,26,tardio,sí,0,1,0,transferido,0
63,F,casado,0,universitario,Ingeniero,<1500,400,efectivo,2025-03-28,29,"Cuesta Teodora Luna, Guipúzcoa",2025-04-26,139082,Residencial SolJ15,J,María Gómez,2,1,Página Web,15,rapido,sí,0,0,1,reservado,0
34,M,soltero,2,tecnico,Ingeniero,>5000,400,efectivo,2025-12-26,33,"Pasaje Virgilio Carro, Zamora",2026-01-28,148617,Jardines del ValleC37,C,Luis Pérez,0,1,Evento,4,rapido,no,1,1,0,transferido,0
61,M,casado,3,universitario,Ingeniero,<1500,300,transferencia,2025-02-08,50,"Ronda de Lupita Casares, Álava",2025-03-30,63044,Residencial SolC24,C,Pedro Sánchez,0,4,Instagram,8,tardio,sí,1,0,0,reservado,1
63,F,casado,1,secundaria,Profesor,3000-5000,400,yape,2025-02-09,29,"Glorieta Faustino Ibañez, Granada",2025-03-10,79836,Residencial SolH43,H,Pedro Sánchez,0,1,Instagram,41,tardio,no,0,0,1,transferido,0
58,F,casado,2,postgrado,Ingeniero,3000-5000,500,yape,2025-05-29,7,"Acceso Julieta Franch, Cuenca",2025-06-05,64360,Jardines del ValleE44,E,Pedro Sánchez,1,4,Referido,0,tardio,sí,0,1,0,reservado,0
43,F,soltero,2,postgrado,Ingeniero,<1500,200,transferencia,2025-10-15,15,"Paseo Dora Morante, Barcelona",2025-10-30,96057,Residencial SolD50,D,Juan Rojas,3,0,Referido,13,tardio,no,1,1,0,transferido,0
